"","ENT","Entidad","MUN","Municipio","Alf","Asi","EBC","Der","Pis","San","Agu","Dre","Ele","Lav","Ref","Ing"
"92",14,"Jalisco",98,"San Pedro Tlaquepaque",0.967825095959125,0.950339713773076,0.654041486170569,0.776140927345747,0.981466544675318,0.991169672308767,0.978655526930393,0.994883586545638,0.998838273180363,0.815417860496473,0.939253124021862,12484.6849456229
"93",14,"Jalisco",101,"Tonalá",0.974002339789419,0.952748195629132,0.665548374498599,0.760374129452793,0.983950217950495,0.991050937264144,0.978551514871463,0.992275464781356,0.998244073748903,0.814310798946444,0.941030143400644,14079.1733870477
"94",14,"Jalisco",120,"Zapopan",0.97962770519094,0.963106185267641,0.743917841436642,0.823290554540913,0.986915804470317,0.993367291462792,0.984607320792802,0.997752852845318,0.998525135428254,0.861563467967001,0.962381195337309,20153.9755716035
"95",15,"México",2,"Acolman",0.979621291892088,0.975814731718447,0.724250497849472,0.794019384551274,0.985190706920114,0.943868803578084,0.847832028823456,0.951795254068828,0.99731643682445,0.727220772766803,0.886718847061747,8747.21370561522
"96",15,"México",13,"Atizapán de Zaragoza",0.978937452714965,0.974400350080683,0.744102851874862,0.754934091943747,0.995549680241411,0.979963179313972,0.998491182414662,0.999543202015448,0.990967858032723,0.803120068658121,0.912557791866227,67950.8915714823
"97",15,"México",20,"Coacalco de Berriozábal",0.992126160184825,0.983368310598111,0.830797968124278,0.800814138802021,0.997990442347751,0.992807254012989,0.999375076583752,0.999583384389168,0.997990442347751,0.895650042886901,0.967785810562431,10219.0380557262
"98",15,"México",29,"Chicoloapan",0.981489646050619,0.979349893854595,0.745098988669222,0.738854153786604,0.993051843933725,0.992038187213181,0.985274332368824,0.999262795112332,0.999594537311782,0.759910798208592,0.895961960227796,11466.6955347252
"99",15,"México",30,"Chiconcuac",0.984647212543554,0.981195433176629,0.738950125504747,0.653060350366214,0.980719794344473,0.975945648182152,0.938486962908557,0.987513771575468,0.994858611825193,0.586485493940507,0.788468600807932,10959.0654429476
"100",15,"México",31,"Chimalhuacán",0.968418810576969,0.975550604164881,0.628508358292483,0.748967011023427,0.974364674076299,0.980024031240613,0.945923700811054,0.995482126764794,0.992880744968459,0.649023730850105,0.807281465905677,8647.30000086922
"101",15,"México",33,"Ecatepec de Morelos",0.980321316730385,0.976843476958814,0.729744783057408,0.737332250762467,0.990429548425798,0.994575980914047,0.984879602345447,0.997996615998223,0.99921696305302,0.799382270852938,0.919324298643881,11775.9416631822
"102",15,"México",37,"Huixquilucan",0.980812379491782,0.98651342186327,0.777860430056336,0.792706364778057,0.993198683793868,0.989150936901959,0.983038013024383,0.995952253108091,0.99803119794033,0.815978962730439,0.904602591108725,8052.25756684097
"103",15,"México",54,"Metepec",0.98381515350927,0.98273060379162,0.797153854463377,0.818687763252243,0.994005339781371,0.975601564992528,0.98460195120313,0.994710593924739,0.993585545648414,0.789028260541031,0.882541601598576,17604.3165317423
"104",15,"México",57,"Naucalpan de Juárez",0.978260735524884,0.978620724144829,0.732274252925857,0.784871117239266,0.992653167185877,0.988685531325718,0.994241086881274,0.998446694357909,0.995543440636899,0.771356870889581,0.902924887504327,13262.8486646634
